Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Televizyon,NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,Sony PS5,2024-04-04T16:34:35.547,2024-11-01T15:42:17.420,2024-04-04T16:37:56.615,2024-10-22T17:31:20.518,2024-10-10T18:16:09.696,2024-10-10T19:26:53.788,2024-10-10T18:23:04.161,2024-10-10T19:26:53.788,
Televizyon,NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,Safari MAC (Cadmium),2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,2024-08-14T16:03:18.095,2024-08-18T11:52:46.950,2024-08-14T16:03:18.095,2024-08-18T11:52:46.950,
Televizyon,NFAPPL-02-IPHONE15=3-C58078D7F8EB6547882DB45580995A2B5C848B3EDA2568DF32C6F568A67890AB,Apple iPhone 14 Pro Max iPhone,2023-09-14T14:18:45.244,2024-12-12T23:05:45.167,2024-01-16T15:12:01.320,2024-12-12T23:05:45.167,2024-08-15T21:49:29.320,2024-08-15T21:49:29.320,2024-08-15T21:49:29.320,2024-08-15T21:49:29.320,
Ceren,NFCDSF-01-KLULW7HE6JT2A1C5FKL1XPHG045WT8,Safari MAC (Cadmium),2023-10-28T18:14:54.102,2024-04-07T00:34:41.631,2023-10-28T18:15:25.291,2024-04-07T00:23:11.744,2023-10-28T18:14:54.102,2024-04-07T00:34:41.631,2023-10-28T18:15:25.291,2024-04-07T00:23:11.744,
Begüm:),NFCDCH-02-G93JVK5N0KQ4RVDFRHYA20C69A0N4F,Chrome PC (Cadmium),2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,
Ceren,NFCDSF-01-KR8LEP0HCC25CYKA5JUM3DWVRRLFHD,Safari MAC (Cadmium),2023-12-21T14:38:04.436,2023-12-21T14:38:04.436,,,2023-12-21T14:38:04.436,2023-12-21T14:38:04.436,,,
Ceren,NFCDCH-MC-KPQ5EXMMF8CTFN897MR2651843W49V,Netflix Chrome MAC (Cadmium) HTML 5,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,
Hülya,LGTV20158=81001536813,LG 2015 Mstar NoneFRC UHD TV Smart TV,2021-06-08T16:25:44.056,2023-10-26T21:05:20.792,2022-02-20T11:30:56.076,2023-10-26T21:05:20.792,2021-06-08T16:25:44.056,2023-10-26T21:05:20.792,2022-02-20T11:30:56.076,2023-10-26T21:05:20.792,
Ceren,NFCDSF-01-KL2FZDLPUTWTH428JHXYVJ1CLQJU3G,Safari MAC (Cadmium),2023-10-19T14:24:04.904,2023-10-19T16:25:26.492,2023-10-19T14:27:49.337,2023-10-19T15:44:59.115,2023-10-19T14:24:04.904,2023-10-19T16:25:26.492,2023-10-19T14:27:49.337,2023-10-19T15:44:59.115,
Ceren,NFCDSF-01-JZKNCNW0U7U2LP617AP6K2X8U2D136,Safari MAC (Cadmium),2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,
